Ticker
MSFT
HON
KO
CELG
XRAY
XOM
MGM
PBCT
GM
CHTR
LYB
MPC
FBHS
TRIP
PSX
FB
PCG
PEP
COP
NWSA
COTY
AMGN
SLB
TWTR
CVX
AAPL
AMAT
MRKT
INFO
MRO
VMC
FL
GT
KR
BHF
DWDP
GIS
UTX
NEW
PG
SO
FMC
WAG
WBA
BA
LUK
JEF
AMR
AAL
MWV
WRK
NEM
CAH
IP
EXC
PFE
JNJ
PPL
MMM
MRK
FE
SCG
CMS
CINF
WEC
CTAS
ETR
WR
EVRG
FPL
NEE
EQT
CPB
WHR
F
MEE
SNS
BH
K
DUK
XRX
PNW
APD
HES
OMC
FLS
HP
HOC
HFC
NUE
PLL
ROL
SHW
WMB
WFC
NI
MAT
IFF
CMI
PKI
SJM
MCD
AVY
ITG
JPM
UNP
LNC
HRB
LEE
PIR
MKC
IPG
MU
PHM
WMT
CAG
NKE
LNT
TAP
INTC
BAC
PCAR
LEG
NWL
AMD
D
VZ
T
HD
MSCS
WDC
MYL
C
ECL
UNM
CHP
BHI
BHGE
CBS
ABMD
PXD
AGN
EOG
CSCO
COG
HOLX
IDXX
AES
VRTX
PRGO
SNPS
PLMD
TSN
WPI
ACT
FLIR
INCY
NFX
EMN
MLM
CPRT
NKTR
MCK
DISH
FCX
AVZ
IVZ
EL
TCX
SRCL
NOV
MWP
MNST
MWW
CMT
TTWO
AMZN
RFMD
QRVO
AMG
ADSK
URI
PWR
SEE
SRE
PCLN
BKNG
COST
RHT
PKG
HANS
ISRG
FLR
PFG
PRU
NFLX
XEC
CMCSA
CME
STX
AIZ
NRG
CRM
GOOG
GOOGL
MOS
NWS
FOXA
EXPE
CF
UA
UAA
ICE
VIA
VIAB
CMG
WU
IPGP
DAL
CXO
ULTA
MXB
MSCI
PM
V
AWK
UNH
DISCK
VRSK
FTNT
CBOE
GOVT
TLT
IEF
SHY
TLH
IEI
SHV
