date,TICKER,PRC,RET,,
2007-03-26,VNQ,79.45,-0.015922,,
2007-03-27,VNQ,78.62,-0.010447,,
2007-03-28,VNQ,78.1,-0.006614,,
2007-03-29,VNQ,78.23,0.001665,,
2007-03-30,VNQ,79.35,0.014317,,
2007-04-02,VNQ,79.85,0.006301,,
2007-04-03,VNQ,80.55,0.008766,,
2007-04-04,VNQ,80.15,-0.004966,,
2007-04-05,VNQ,80.07,-0.000998,,
2007-04-09,VNQ,80.22,0.001873,,
2007-04-10,VNQ,80.55,0.004114,,
2007-04-11,VNQ,79.35,-0.014898,,
2007-04-12,VNQ,78.81,-0.006805,,
2007-04-13,VNQ,79.7,0.011293,,
2007-04-16,VNQ,79.8,0.001255,,
2007-04-17,VNQ,80.84,0.013032,,
2007-04-18,VNQ,80.34,-0.006185,,
2007-04-19,VNQ,79.8,-0.006721,,
2007-04-20,VNQ,80.4,0.007519,,
2007-04-23,VNQ,81.3,0.011194,,
2007-04-24,VNQ,80.75,-0.006765,,
2007-04-25,VNQ,80.7,-0.000619,,
2007-04-26,VNQ,80.75,0.00062,,
2007-04-27,VNQ,80.55,-0.002477,,
2007-04-30,VNQ,79.25,-0.016139,,
2007-05-01,VNQ,78.56,-0.008707,,
2007-05-02,VNQ,79.18,0.007892,,
2007-05-03,VNQ,79.39,0.002652,,
2007-05-04,VNQ,78.7,-0.008691,,
2007-05-07,VNQ,78.92,0.002795,,
2007-05-08,VNQ,78.4,-0.006589,,
2007-05-09,VNQ,79.25,0.010842,,
2007-05-10,VNQ,78.19,-0.013375,,
2007-05-11,VNQ,79.25,0.013557,,
2007-05-14,VNQ,78.8,-0.005678,,
2007-05-15,VNQ,77.6,-0.015228,,
2007-05-16,VNQ,76.64,-0.012371,,
2007-05-17,VNQ,75.31,-0.017354,,
2007-05-18,VNQ,74.55,-0.010092,,
2007-05-21,VNQ,74.85,0.004024,,
2007-05-22,VNQ,75.96,0.01483,,
2007-05-23,VNQ,75.38,-0.007636,,
2007-05-24,VNQ,74.12,-0.016715,,
2007-05-25,VNQ,74.54,0.005666,,
2007-05-29,VNQ,77.2,0.035685,,
2007-05-30,VNQ,79.27,0.026813,,
2007-05-31,VNQ,78.95,-0.004037,,
2007-06-01,VNQ,79.06,0.001393,,
2007-06-04,VNQ,79.38,0.004048,,
2007-06-05,VNQ,78.12,-0.015873,,
2007-06-06,VNQ,77.59,-0.006785,,
2007-06-07,VNQ,75.15,-0.031447,,
2007-06-08,VNQ,76.05,0.011976,,
2007-06-11,VNQ,74.91,-0.01499,,
2007-06-12,VNQ,73.61,-0.017354,,
2007-06-13,VNQ,75.24,0.022144,,
2007-06-14,VNQ,74.43,-0.010766,,
2007-06-15,VNQ,75.25,0.011017,,
2007-06-18,VNQ,74.09,-0.015415,,
2007-06-19,VNQ,74.23,0.00189,,
2007-06-20,VNQ,72,-0.030042,,
2007-06-21,VNQ,72.3999,0.005554,,
2007-06-22,VNQ,72.13,-0.003728,,
2007-06-25,VNQ,70.07,-0.016193,,
2007-06-26,VNQ,69.8,-0.003853,,
2007-06-27,VNQ,71.59,0.025645,,
2007-06-28,VNQ,71.22,-0.005168,,
2007-06-29,VNQ,70.95,-0.003791,,
2007-07-02,VNQ,72.59,0.023115,,
2007-07-03,VNQ,72.39,-0.002755,,
2007-07-05,VNQ,73.48,0.015057,,
2007-07-06,VNQ,73.39,-0.001225,,
2007-07-09,VNQ,73.34,-0.000681,,
2007-07-10,VNQ,71.48,-0.025361,,
2007-07-11,VNQ,71.34,-0.001959,,
2007-07-12,VNQ,72.26,0.012896,,
2007-07-13,VNQ,72.95,0.009549,,
2007-07-16,VNQ,72.34,-0.008362,,
2007-07-17,VNQ,72.08,-0.003594,,
2007-07-18,VNQ,71.92,-0.00222,,
2007-07-19,VNQ,72.19,0.003754,,
2007-07-20,VNQ,70.93,-0.017454,,
2007-07-23,VNQ,69.7,-0.017341,,
2007-07-24,VNQ,68.29,-0.020229,,
2007-07-25,VNQ,67.55,-0.010836,,
2007-07-26,VNQ,66.31,-0.018357,,
2007-07-27,VNQ,64.11,-0.033177,,
2007-07-30,VNQ,65.35,0.019342,,
2007-07-31,VNQ,65.09,-0.003979,,
2007-08-01,VNQ,65.95,0.013212,,
2007-08-02,VNQ,67.04,0.016528,,
2007-08-03,VNQ,64.45,-0.038634,,
2007-08-06,VNQ,66.7,0.034911,,
2007-08-07,VNQ,67.07,0.005547,,
2007-08-08,VNQ,69.72,0.039511,,
2007-08-09,VNQ,68.95,-0.011044,,
2007-08-10,VNQ,66.87,-0.030167,,
2007-08-13,VNQ,66.55,-0.004785,,
2007-08-14,VNQ,64.64,-0.0287,,
2007-08-15,VNQ,63.55,-0.016863,,
2007-08-16,VNQ,66.1,0.040126,,
2007-08-17,VNQ,67.6,0.022693,,
2007-08-20,VNQ,68.84,0.018343,,
2007-08-21,VNQ,69.16,0.004649,,
2007-08-22,VNQ,70,0.012146,,
2007-08-23,VNQ,68.8,-0.017143,,
2007-08-24,VNQ,69.17,0.005378,,
2007-08-27,VNQ,67.67,-0.021686,,
2007-08-28,VNQ,65.6,-0.03059,,
2007-08-29,VNQ,68,0.036585,,
2007-08-30,VNQ,68.35,0.005147,,
2007-08-31,VNQ,69.48,0.016533,,
2007-09-04,VNQ,70.4,0.013241,,
2007-09-05,VNQ,68.71,-0.024006,,
2007-09-06,VNQ,69.32,0.008878,,
2007-09-07,VNQ,67.65,-0.024091,,
2007-09-10,VNQ,66.95,-0.010347,,
2007-09-11,VNQ,68.34,0.020762,,
2007-09-12,VNQ,67.94,-0.005853,,
2007-09-13,VNQ,69.47,0.02252,,
2007-09-14,VNQ,69.92,0.006478,,
2007-09-17,VNQ,69.41,-0.007294,,
2007-09-18,VNQ,71.88,0.035586,,
2007-09-19,VNQ,73.23,0.018781,,
2007-09-20,VNQ,71.33,-0.025946,,
2007-09-21,VNQ,71.84,0.00715,,
2007-09-24,VNQ,72.45,0.018764,,
2007-09-25,VNQ,70.65,-0.024845,,
2007-09-26,VNQ,71.68,0.014579,,
2007-09-27,VNQ,72.23,0.007673,,
2007-09-28,VNQ,71.46,-0.01066,,
2007-10-01,VNQ,73.2,0.024349,,
2007-10-02,VNQ,74.53,0.018169,,
2007-10-03,VNQ,74.17,-0.00483,,
2007-10-04,VNQ,74.93,0.010247,,
2007-10-05,VNQ,76.69,0.023489,,
2007-10-08,VNQ,75.24,-0.018907,,
2007-10-09,VNQ,76.08,0.011164,,
2007-10-10,VNQ,75.55,-0.006966,,
2007-10-11,VNQ,75.25,-0.003971,,
2007-10-12,VNQ,74.54,-0.009435,,
2007-10-15,VNQ,73.14,-0.018782,,
2007-10-16,VNQ,72.25,-0.012168,,
2007-10-17,VNQ,72.14,-0.001522,,
2007-10-18,VNQ,72.16,0.000277,,
2007-10-19,VNQ,69.09,-0.042544,,
2007-10-22,VNQ,70.9,0.026198,,
2007-10-23,VNQ,71.65,0.010578,,
2007-10-24,VNQ,70.45,-0.016748,,
2007-10-25,VNQ,70.6,0.002129,,
2007-10-26,VNQ,71.67,0.015156,,
2007-10-29,VNQ,70.5,-0.016325,,
2007-10-30,VNQ,71.47,0.013759,,
2007-10-31,VNQ,72.96,0.020848,,
2007-11-01,VNQ,69.55,-0.046738,,
2007-11-02,VNQ,68.56,-0.014234,,
2007-11-05,VNQ,67.57,-0.01444,,
2007-11-06,VNQ,68.42,0.01258,,
2007-11-07,VNQ,66.29,-0.031131,,
2007-11-08,VNQ,66.49,0.003017,,
2007-11-09,VNQ,65.95,-0.008122,,
2007-11-12,VNQ,66.71,0.011524,,
2007-11-13,VNQ,68.92,0.033128,,
2007-11-14,VNQ,67.52,-0.020313,,
2007-11-15,VNQ,67.4,-0.001777,,
2007-11-16,VNQ,66.14,-0.018694,,
2007-11-19,VNQ,64.7,-0.021772,,
2007-11-20,VNQ,63.45,-0.01932,,
2007-11-21,VNQ,63.01,-0.006935,,
2007-11-23,VNQ,64.25,0.019679,,
2007-11-26,VNQ,61.17,-0.047938,,
2007-11-27,VNQ,62.6,0.023377,,
2007-11-28,VNQ,65.35,0.04393,,
2007-11-29,VNQ,64.3,-0.016067,,
2007-11-30,VNQ,66.05,0.027216,,
2007-12-03,VNQ,65.34,-0.01075,,
2007-12-04,VNQ,63.58,-0.026936,,
2007-12-05,VNQ,65.72,0.033658,,
2007-12-06,VNQ,67.81,0.031802,,
2007-12-07,VNQ,67.57,-0.003539,,
2007-12-10,VNQ,69.02,0.021459,,
2007-12-11,VNQ,65.38,-0.052738,,
2007-12-12,VNQ,65.16,-0.003365,,
2007-12-13,VNQ,64.42,-0.011357,,
2007-12-14,VNQ,62.8,-0.025147,,
2007-12-17,VNQ,60.86,-0.030892,,
2007-12-18,VNQ,61.8,0.015445,,
2007-12-19,VNQ,62.43,0.010194,,
2007-12-20,VNQ,61.16,-0.004101,,
2007-12-21,VNQ,62.36,0.019621,,
2007-12-24,VNQ,64.38,0.032393,,
2007-12-26,VNQ,63.31,-0.01662,,
2007-12-27,VNQ,62.05,-0.019902,,
2007-12-28,VNQ,60.96,-0.017566,,
2007-12-31,VNQ,61.46,0.008202,,
2008-01-02,VNQ,61.27,-0.003091,,
2008-01-03,VNQ,59.36,-0.031173,,
2008-01-04,VNQ,56.95,-0.0406,,
2008-01-07,VNQ,57.48,0.009306,,
2008-01-08,VNQ,55.49,-0.034621,,
2008-01-09,VNQ,56.47,0.017661,,
2008-01-10,VNQ,57.34,0.015406,,
2008-01-11,VNQ,57.35,0.000174,,
2008-01-14,VNQ,57.1101,-0.004183,,
2008-01-15,VNQ,55.95,-0.020313,,
2008-01-16,VNQ,56.59,0.011439,,
2008-01-17,VNQ,55.82,-0.013607,,
2008-01-18,VNQ,55.08,-0.013257,,
2008-01-22,VNQ,56.4,0.023965,,
2008-01-23,VNQ,61.75,0.094858,,
2008-01-24,VNQ,60.3,-0.023482,,
2008-01-25,VNQ,59.9499,-0.005806,,
2008-01-28,VNQ,61.98,0.033863,,
2008-01-29,VNQ,61.42,-0.009035,,
2008-01-30,VNQ,59.78,-0.026701,,
2008-01-31,VNQ,60.98,0.020074,,
2008-02-01,VNQ,63.53,0.041817,,
2008-02-04,VNQ,62.87,-0.010389,,
2008-02-05,VNQ,60.65,-0.035311,,
2008-02-06,VNQ,59.66,-0.016323,,
2008-02-07,VNQ,61.07,0.023634,,
2008-02-08,VNQ,59.1199,-0.031932,,
2008-02-11,VNQ,57.92,-0.020296,,
2008-02-12,VNQ,59.57,0.028488,,
2008-02-13,VNQ,60.04,0.00789,,
2008-02-14,VNQ,58.92,-0.018654,,
2008-02-15,VNQ,59.4,0.008147,,
2008-02-19,VNQ,59.25,-0.002525,,
2008-02-20,VNQ,59.62,0.006245,,
2008-02-21,VNQ,58,-0.027172,,
2008-02-22,VNQ,59.64,0.028276,,
2008-02-25,VNQ,61.4601,0.030518,,
2008-02-26,VNQ,61.45,-0.000164,,
2008-02-27,VNQ,61.16,-0.004719,,
2008-02-28,VNQ,59.9,-0.020602,,
2008-02-29,VNQ,59.043,-0.014307,,
2008-03-03,VNQ,59.45,0.006893,,
2008-03-04,VNQ,58.89,-0.00942,,
2008-03-05,VNQ,59.7,0.013754,,
2008-03-06,VNQ,56.98,-0.045561,,
2008-03-07,VNQ,57.91,0.016322,,
2008-03-10,VNQ,57.09,-0.01416,,
2008-03-11,VNQ,60.8,0.064985,,
2008-03-12,VNQ,59.52,-0.021053,,
2008-03-13,VNQ,60.22,0.011761,,
2008-03-14,VNQ,59,-0.020259,,
2008-03-17,VNQ,59.3599,0.0061,,
2008-03-18,VNQ,61.97,0.043971,,
2008-03-19,VNQ,61.5,-0.007584,,
2008-03-20,VNQ,63.55,0.033333,,
2008-03-24,VNQ,64.98,0.022502,,
2008-03-25,VNQ,64.65,0.002539,,
2008-03-26,VNQ,63.41,-0.01918,,
2008-03-27,VNQ,62.89,-0.008201,,
2008-03-28,VNQ,62.15,-0.011767,,
2008-03-31,VNQ,62.39,0.003862,,
2008-04-01,VNQ,65.94,0.0569,,
2008-04-02,VNQ,65.62,-0.004853,,
2008-04-03,VNQ,67.12,0.022859,,
2008-04-04,VNQ,66.06,-0.015793,,
2008-04-07,VNQ,65.45,-0.009234,,
2008-04-08,VNQ,65.36,-0.001375,,
2008-04-09,VNQ,63.72,-0.025092,,
2008-04-10,VNQ,64.34,0.00973,,
2008-04-11,VNQ,63.55,-0.012278,,
2008-04-14,VNQ,63.18,-0.005822,,
2008-04-15,VNQ,63.82,0.01013,,
2008-04-16,VNQ,66.41,0.040583,,
2008-04-17,VNQ,66.65,0.003614,,
2008-04-18,VNQ,66.27,-0.005701,,
2008-04-21,VNQ,65.78,-0.007394,,
2008-04-22,VNQ,65.62,-0.002432,,
2008-04-23,VNQ,66.44,0.012496,,
2008-04-24,VNQ,67.76,0.019868,,
2008-04-25,VNQ,68.14,0.005608,,
2008-04-28,VNQ,68.05,-0.001321,,
2008-04-29,VNQ,67.31,-0.010874,,
2008-04-30,VNQ,66.37,-0.013965,,
2008-05-01,VNQ,67.8,0.021546,,
2008-05-02,VNQ,67.74,-0.000885,,
2008-05-05,VNQ,67.55,-0.002805,,
2008-05-06,VNQ,68.02,0.006958,,
2008-05-07,VNQ,66.17,-0.027198,,
2008-05-08,VNQ,65.77,-0.006045,,
2008-05-09,VNQ,65.41,-0.005474,,
2008-05-12,VNQ,66.98,0.024002,,
2008-05-13,VNQ,67.25,0.004031,,
2008-05-14,VNQ,67.67,0.006245,,
2008-05-15,VNQ,68.49,0.012118,,
2008-05-16,VNQ,68.13,-0.005256,,
2008-05-19,VNQ,68.24,0.001615,,
2008-05-20,VNQ,67.32,-0.013482,,
2008-05-21,VNQ,65.7,-0.024064,,
2008-05-22,VNQ,65.14,-0.008524,,
2008-05-23,VNQ,64.83,-0.004759,,
2008-05-27,VNQ,65.72,0.013728,,
2008-05-28,VNQ,65.83,0.001674,,
2008-05-29,VNQ,66.54,0.010785,,
2008-05-30,VNQ,66.23,-0.004659,,
2008-06-02,VNQ,65.12,-0.01676,,
2008-06-03,VNQ,65.55,0.006603,,
2008-06-04,VNQ,65.89,0.005187,,
2008-06-05,VNQ,67.4,0.022917,,
2008-06-06,VNQ,64.58,-0.04184,,
2008-06-09,VNQ,63.3,-0.01982,,
2008-06-10,VNQ,63.33,0.000474,,
2008-06-11,VNQ,62.37,-0.015159,,
2008-06-12,VNQ,63.01,0.010261,,
2008-06-13,VNQ,64.06,0.016664,,
2008-06-16,VNQ,64.91,0.013269,,
2008-06-17,VNQ,63.07,-0.028347,,
2008-06-18,VNQ,62.14,-0.014746,,
2008-06-19,VNQ,63.58,0.023174,,
2008-06-20,VNQ,62.15,-0.022491,,
2008-06-23,VNQ,60.61,-0.024779,,
2008-06-24,VNQ,59.85,0.000627,,
2008-06-25,VNQ,60.83,0.016374,,
2008-06-26,VNQ,58.8,-0.033372,,
2008-06-27,VNQ,58.34,-0.007823,,
2008-06-30,VNQ,58.42,0.001371,,
2008-07-01,VNQ,58.37,-0.000856,,
2008-07-02,VNQ,57.65,-0.012335,,
2008-07-03,VNQ,57.06,-0.010234,,
2008-07-07,VNQ,55.78,-0.022433,,
2008-07-08,VNQ,59.94,0.074579,,
2008-07-09,VNQ,55.85,-0.068235,,
2008-07-10,VNQ,56.93,0.019338,,
2008-07-11,VNQ,56.65,-0.004918,,
2008-07-14,VNQ,54.68,-0.034775,,
2008-07-15,VNQ,54.15,-0.009693,,
2008-07-16,VNQ,58.1,0.072945,,
2008-07-17,VNQ,58.8,0.012048,,
2008-07-18,VNQ,58.9,0.001701,,
2008-07-21,VNQ,59.34,0.00747,,
2008-07-22,VNQ,60.93,0.026795,,
2008-07-23,VNQ,62.65,0.028229,,
2008-07-24,VNQ,58.5,-0.066241,,
2008-07-25,VNQ,59.46,0.01641,,
2008-07-28,VNQ,58.49,-0.016313,,
2008-07-29,VNQ,61.21,0.046504,,
2008-07-30,VNQ,61,-0.003431,,
2008-07-31,VNQ,60.24,-0.012459,,
2008-08-01,VNQ,60.29,0.00083,,
2008-08-04,VNQ,59.41,-0.014596,,
2008-08-05,VNQ,62.08,0.044942,,
2008-08-06,VNQ,61.78,-0.004833,,
2008-08-07,VNQ,60.15,-0.026384,,
2008-08-08,VNQ,61.9,0.029094,,
2008-08-11,VNQ,63.9,0.03231,,
2008-08-12,VNQ,62.47,-0.022379,,
2008-08-13,VNQ,61.56,-0.014567,,
2008-08-14,VNQ,62.55,0.016082,,
2008-08-15,VNQ,62.46,-0.001439,,
2008-08-18,VNQ,61.6,-0.013769,,
2008-08-19,VNQ,60.08,-0.024675,,
2008-08-20,VNQ,60.17,0.001498,,
2008-08-21,VNQ,59.1,-0.017783,,
2008-08-22,VNQ,61.11,0.03401,,
2008-08-25,VNQ,59.26,-0.030273,,
2008-08-26,VNQ,59.96,0.011812,,
2008-08-27,VNQ,60.56,0.010007,,
2008-08-28,VNQ,62.1,0.025429,,
2008-08-29,VNQ,61.67,-0.006924,,
2008-09-02,VNQ,62.07,0.006486,,
2008-09-03,VNQ,63.05,0.015789,,
2008-09-04,VNQ,61.28,-0.028073,,
2008-09-05,VNQ,61.29,0.000163,,
2008-09-08,VNQ,63.94,0.043237,,
2008-09-09,VNQ,61.55,-0.037379,,
2008-09-10,VNQ,61.66,0.001787,,
2008-09-11,VNQ,62.6,0.015245,,
2008-09-12,VNQ,62.4,-0.003195,,
2008-09-15,VNQ,58.8,-0.057692,,
2008-09-16,VNQ,61.7,0.04932,,
2008-09-17,VNQ,58.15,-0.057536,,
2008-09-18,VNQ,63.09,0.084953,,
2008-09-19,VNQ,64.97,0.029799,,
2008-09-22,VNQ,59.51,-0.084039,,
2008-09-23,VNQ,59.91,0.006722,,
2008-09-24,VNQ,58.73,-0.00681,,
2008-09-25,VNQ,59.46,0.01243,,
2008-09-26,VNQ,61.3,0.030945,,
2008-09-29,VNQ,56.72,-0.074714,,
2008-09-30,VNQ,60.8,0.071932,,
2008-10-01,VNQ,59.33,-0.024178,,
2008-10-02,VNQ,55.5,-0.064554,,
2008-10-03,VNQ,53.1,-0.043243,,
2008-10-06,VNQ,51.51,-0.029944,,
2008-10-07,VNQ,47.09,-0.085809,,
2008-10-08,VNQ,46.44,-0.013803,,
2008-10-09,VNQ,42.76,-0.079242,,
2008-10-10,VNQ,46.85,0.09565,,
2008-10-13,VNQ,49.83,0.063607,,
2008-10-14,VNQ,46.44,-0.068031,,
2008-10-15,VNQ,40.48,-0.128338,,
2008-10-16,VNQ,42.83,0.058053,,
2008-10-17,VNQ,42.372,-0.010693,,
2008-10-20,VNQ,42.68,0.007269,,
2008-10-21,VNQ,41.22,-0.034208,,
2008-10-22,VNQ,38.31,-0.070597,,
2008-10-23,VNQ,37.31,-0.026103,,
2008-10-24,VNQ,35.19,-0.056821,,
2008-10-27,VNQ,33.19,-0.056834,,
2008-10-28,VNQ,38.38,0.156372,,
2008-10-29,VNQ,37.02,-0.035435,,
2008-10-30,VNQ,39,0.053485,,
2008-10-31,VNQ,41.51,0.064359,,
2008-11-03,VNQ,40.15,-0.032763,,
2008-11-04,VNQ,42.4,0.05604,,
2008-11-05,VNQ,38.23,-0.098349,,
2008-11-06,VNQ,36.44,-0.046822,,
2008-11-07,VNQ,38.75,0.063392,,
2008-11-10,VNQ,35.28,-0.089548,,
2008-11-11,VNQ,34.79,-0.013889,,
2008-11-12,VNQ,32.3,-0.071572,,
2008-11-13,VNQ,35.8499,0.109904,,
2008-11-14,VNQ,31.81,-0.112689,,
2008-11-17,VNQ,30.66,-0.036152,,
2008-11-18,VNQ,30.37,-0.009459,,
2008-11-19,VNQ,26.29,-0.134343,,
2008-11-20,VNQ,24.21,-0.079118,,
2008-11-21,VNQ,25.99,0.073523,,
2008-11-24,VNQ,30.41,0.170065,,
2008-11-25,VNQ,30.89,0.015784,,
2008-11-26,VNQ,32.56,0.054063,,
2008-11-28,VNQ,32.08,-0.014742,,
2008-12-01,VNQ,25.819,-0.195168,,
2008-12-02,VNQ,29.25,0.132887,,
2008-12-03,VNQ,30.89,0.056068,,
2008-12-04,VNQ,30.04,-0.027517,,
2008-12-05,VNQ,33.22,0.105859,,
2008-12-08,VNQ,36.32,0.093317,,
2008-12-09,VNQ,33.17,-0.086729,,
2008-12-10,VNQ,36.02,0.085921,,
2008-12-11,VNQ,30.88,-0.142699,,
2008-12-12,VNQ,34.11,0.104598,,
2008-12-15,VNQ,32.92,-0.034887,,
2008-12-16,VNQ,36.95,0.122418,,
2008-12-17,VNQ,37.63,0.018403,,
2008-12-18,VNQ,34.5,-0.083178,,
2008-12-19,VNQ,36.92,0.070145,,
2008-12-22,VNQ,35.53,-0.037649,,
2008-12-23,VNQ,35.33,-0.005629,,
2008-12-24,VNQ,34.8,0.011463,,
2008-12-26,VNQ,35.3,0.014368,,
2008-12-29,VNQ,33.27,-0.057507,,
2008-12-30,VNQ,34.6,0.039976,,
2008-12-31,VNQ,36.45,0.053468,,
2009-01-02,VNQ,35.29,-0.031824,,
2009-01-05,VNQ,34.639,-0.018447,,
2009-01-06,VNQ,36.37,0.049973,,
2009-01-07,VNQ,35.15,-0.033544,,
2009-01-08,VNQ,34.89,-0.007397,,
2009-01-09,VNQ,33.1,-0.051304,,
2009-01-12,VNQ,31.16,-0.05861,,
2009-01-13,VNQ,32.1,0.030167,,
2009-01-14,VNQ,30.42,-0.052336,,
2009-01-15,VNQ,31.42,0.032873,,
2009-01-16,VNQ,32.61,0.037874,,
2009-01-20,VNQ,28.96,-0.111929,,
2009-01-21,VNQ,31.99,0.104627,,
2009-01-22,VNQ,30.24,-0.054705,,
2009-01-23,VNQ,31.16,0.030423,,
2009-01-26,VNQ,30.98,-0.005777,,
2009-01-27,VNQ,31.42,0.014203,,
2009-01-28,VNQ,34.14,0.086569,,
2009-01-29,VNQ,31.35,-0.081722,,
2009-01-30,VNQ,30.06,-0.041148,,
2009-02-02,VNQ,30.79,0.024285,,
2009-02-03,VNQ,30.48,-0.010068,,
2009-02-04,VNQ,29.74,-0.024278,,
2009-02-05,VNQ,29.11,-0.021184,,
2009-02-06,VNQ,31.13,0.069392,,
2009-02-09,VNQ,31.59,0.014777,,
2009-02-10,VNQ,28.78,-0.088952,,
2009-02-11,VNQ,29.33,0.01911,,
2009-02-12,VNQ,28.83,-0.017047,,
2009-02-13,VNQ,27.06,-0.061394,,
2009-02-17,VNQ,25.14,-0.070953,,
2009-02-18,VNQ,25.5,0.01432,,
2009-02-19,VNQ,24.4,-0.043137,,
2009-02-20,VNQ,25.94,0.063115,,
2009-02-23,VNQ,23.99,-0.075174,,
2009-02-24,VNQ,26.02,0.084619,,
2009-02-25,VNQ,25.5199,-0.01922,,
2009-02-26,VNQ,24.21,-0.051329,,
2009-02-27,VNQ,23.89,-0.013218,,
2009-03-02,VNQ,22.4,-0.062369,,
2009-03-03,VNQ,22.49,0.004018,,
2009-03-04,VNQ,22.85,0.016007,,
2009-03-05,VNQ,21.44,-0.061707,,
2009-03-06,VNQ,21.15,-0.013526,,
2009-03-09,VNQ,21.62,0.022222,,
2009-03-10,VNQ,24.63,0.139223,,
2009-03-11,VNQ,24.23,-0.01624,,
2009-03-12,VNQ,26.21,0.081717,,
2009-03-13,VNQ,25.65,-0.021366,,
2009-03-16,VNQ,23.63,-0.078752,,
2009-03-17,VNQ,25.42,0.075751,,
2009-03-18,VNQ,26.81,0.054681,,
2009-03-19,VNQ,25.17,-0.061171,,
2009-03-20,VNQ,23,-0.086214,,
2009-03-23,VNQ,26.72,0.161739,,
2009-03-24,VNQ,24.66,-0.077096,,
2009-03-25,VNQ,24.58,0.016139,,
2009-03-26,VNQ,25.13,0.022376,,
2009-03-27,VNQ,24.01,-0.044568,,
2009-03-30,VNQ,22.7,-0.054561,,
2009-03-31,VNQ,24.28,0.069604,,
2009-04-01,VNQ,24.15,-0.005354,,
2009-04-02,VNQ,25.9,0.072464,,
2009-04-03,VNQ,28.13,0.0861,,
2009-04-06,VNQ,27.81,-0.011376,,
2009-04-07,VNQ,25.73,-0.074793,,
2009-04-08,VNQ,26.112,0.014846,,
2009-04-09,VNQ,29.61,0.133961,,
2009-04-13,VNQ,29.7,0.00304,,
2009-04-14,VNQ,27.18,-0.084849,,
2009-04-15,VNQ,29.54,0.086829,,
2009-04-16,VNQ,30.53,0.033514,,
2009-04-17,VNQ,31.08,0.018015,,
2009-04-20,VNQ,27.88,-0.10296,,
2009-04-21,VNQ,30.35,0.088594,,
2009-04-22,VNQ,29.29,-0.034926,,
2009-04-23,VNQ,30.61,0.045067,,
2009-04-24,VNQ,32.06,0.04737,,
2009-04-27,VNQ,30.14,-0.059888,,
2009-04-28,VNQ,30.54,0.013271,,
2009-04-29,VNQ,31.87,0.043549,,
2009-04-30,VNQ,31.73,-0.004393,,
2009-05-01,VNQ,30.69,-0.032777,,
2009-05-04,VNQ,33.22,0.082437,,
2009-05-05,VNQ,31.98,-0.037327,,
2009-05-06,VNQ,33.2,0.038149,,
2009-05-07,VNQ,31.3,-0.057229,,
2009-05-08,VNQ,33.39,0.066773,,
2009-05-11,VNQ,32.12,-0.038035,,
2009-05-12,VNQ,32.03,-0.002802,,
